incident_id,login_failure_rate,token_validation_error_rate,http_5xx_rate,latency_p95_ms,cpu_utilization_percent,memory_utilization_percent,dependency_error_rate,network_packet_loss_percent,deployment_age_minutes,affected_user_count,regions_affected,category,severity
network_degradation-00020,0.0439,0.014924,0.023238,2933.279,65.828,35.101,0.040605,10.52,,5741,3,network_degradation,SEV-2
authentication_failure-00092,0.206342,0.327414,0.132704,1231.715,52.599,44.171,0.009873,1.371,,6706,2,authentication_failure,SEV-2
dependency_failure-00003,0.19212,0.013724,0.122531,3062.109,45.146,67.875,0.269841,0.601,,9461,2,dependency_failure,SEV-2
deployment_regression-00079,0.24626,0.169145,0.425551,916.288,78.5,76.762,0.014905,1.124,28,4992,1,deployment_regression,SEV-2
authentication_failure-00042,0.428889,0.190553,0.065951,795.143,62.819,76.418,0.051626,1.328,,1892,1,authentication_failure,SEV-2
deployment_regression-00093,0.286177,0.166438,0.171579,1907.711,45.988,84.683,0.058002,0.169,26,11066,4,deployment_regression,SEV-1
authentication_failure-00028,0.439239,0.112852,0.049446,921.259,43.858,65.75,0.051175,0.758,,7539,1,authentication_failure,SEV-2
authentication_failure-00062,0.213045,0.224628,0.111442,2453.214,53.855,44.716,0.006032,0.291,,1569,2,authentication_failure,SEV-2
infrastructure_saturation-00008,0.012045,0.021288,0.173402,1608.72,97.222,91.643,0.017201,0.753,,7154,2,infrastructure_saturation,SEV-2
unknown-00057,0.015068,0.026519,0.005239,764.16,27.517,82.287,0.003847,0.412,363,128,1,unknown,SEV-3
network_degradation-00001,0.167238,0.022507,0.043228,2716.557,49.46,43.225,0.024653,7.597,,7850,1,network_degradation,SEV-2
infrastructure_saturation-00016,0.039658,0.022122,0.162628,2707.296,95.859,88.841,0.04633,0.443,,1304,1,infrastructure_saturation,SEV-2
network_degradation-00071,0.103771,0.021739,0.249707,3832.624,62.636,44.388,0.013398,12.266,,4867,2,network_degradation,SEV-2
deployment_regression-00031,0.115292,0.079217,0.346247,3902.684,65.415,74.877,0.062704,0.351,8,5320,4,deployment_regression,SEV-1
infrastructure_saturation-00047,0.015973,0.025047,0.301011,1605.829,99.294,84.844,0.027391,1.488,,11381,2,infrastructure_saturation,SEV-1
network_degradation-00017,0.157475,0.015267,0.088622,1324.372,66.983,32.28,0.012018,7.91,,7596,2,network_degradation,SEV-2
network_degradation-00002,0.039274,0.016119,0.162196,5084.877,42.095,45.977,0.052737,11.286,1033,4500,3,network_degradation,SEV-2
dependency_failure-00015,0.093953,0.014631,0.148334,2448.222,20.006,71.477,0.520932,0.516,,236,4,dependency_failure,SEV-1
network_degradation-00023,0.133619,0.005248,0.188838,4538.157,29.294,44.429,0.039032,3.448,,4290,5,network_degradation,SEV-1
deployment_regression-00070,0.304233,0.042397,0.312739,2783.155,78.788,42.832,0.054458,0.047,23,2050,2,deployment_regression,SEV-2
infrastructure_saturation-00074,0.114507,0.005592,0.053587,6897.42,99.826,84.353,0.04942,0.558,,10662,1,infrastructure_saturation,SEV-1
dependency_failure-00054,0.052861,0.013671,0.193568,1600.029,63.793,54.681,0.432557,1.309,,6937,2,dependency_failure,SEV-2
dependency_failure-00072,0.089222,0.00713,0.288511,4016.558,61.491,58.913,0.4894,0.266,,9585,3,dependency_failure,SEV-2
authentication_failure-00009,0.506064,0.195796,0.040705,2495.075,53.024,34.727,0.002827,0.164,,6588,3,authentication_failure,SEV-2
deployment_regression-00089,0.335469,0.068552,0.088055,1614.263,30.175,46.549,0.005842,0.636,23,1294,1,deployment_regression,SEV-2
authentication_failure-00021,0.328826,0.132674,0.066146,617.271,45.844,81.236,0.015912,1.176,,3565,3,authentication_failure,SEV-2
dependency_failure-00009,0.090145,0.024492,0.197623,5526.073,24.747,44.587,0.243011,0.98,,10018,4,dependency_failure,SEV-1
unknown-00060,0.062946,0.014584,0.039951,1001.283,53.393,49.77,0.028363,2.246,,203,1,unknown,SEV-3
network_degradation-00044,0.159836,0.016747,0.160069,5155.093,33.653,46.087,0.020572,6.53,,2363,4,network_degradation,SEV-1
dependency_failure-00032,0.019326,0.008829,0.304067,966.739,75.262,62.378,0.56277,1.248,,10568,1,dependency_failure,SEV-1
unknown-00027,0.036771,0.022995,0.038868,400.251,17.753,44.971,0.00955,1.74,,162,1,unknown,SEV-3
unknown-00044,0.010912,0.021595,0.037921,1758.445,29.155,28.269,0.034611,0.149,1013,118,1,unknown,SEV-3
deployment_regression-00036,0.376983,0.036144,0.186145,3455.237,70.372,42.356,0.056443,0.673,1,1548,1,deployment_regression,SEV-2
deployment_regression-00040,0.236659,0.099326,0.315198,3939.326,44.712,35.861,0.063082,0.517,24,11015,1,deployment_regression,SEV-1
authentication_failure-00033,0.468622,0.150714,0.120232,716.191,72.969,74.647,0.013346,1.225,,2600,1,authentication_failure,SEV-2
infrastructure_saturation-00086,0.039021,0.023558,0.102605,3494.351,96.885,84.292,0.04373,1.423,,6515,1,infrastructure_saturation,SEV-2
network_degradation-00040,0.098737,0.028084,0.030529,1984.932,27.725,62.993,0.043294,4.284,,3172,1,network_degradation,SEV-2
unknown-00024,0.074631,0.019938,0.015986,1290.094,78.323,57.352,0.025769,2.35,,112,1,unknown,SEV-3
network_degradation-00031,0.078132,0.038492,0.082522,3314.293,66.787,67.395,0.038931,12.563,,1060,2,network_degradation,SEV-2
authentication_failure-00075,0.342929,0.271696,0.079789,1384.082,27.839,43.887,0.007861,0.432,,4070,1,authentication_failure,SEV-2
dependency_failure-00097,0.103916,0.026407,0.090781,5066.871,73.236,76.486,0.410789,0.0,,2544,4,dependency_failure,SEV-1
network_degradation-00036,0.064508,0.013236,0.083976,4041.576,50.277,45.068,0.049026,3.946,,9488,4,network_degradation,SEV-1
dependency_failure-00044,0.038122,0.013447,0.221791,4701.107,52.889,39.966,0.287234,0.652,,2309,4,dependency_failure,SEV-1
authentication_failure-00091,0.16178,0.273336,0.015519,2077.221,26.835,48.973,0.007885,1.364,,3503,1,authentication_failure,SEV-2
deployment_regression-00100,0.118038,0.081662,0.303839,926.552,34.221,77.646,0.047007,1.007,7,8104,2,deployment_regression,SEV-2
dependency_failure-00030,0.046075,0.027329,0.32035,1686.071,36.988,48.359,0.247453,0.144,,817,2,dependency_failure,SEV-2
network_degradation-00024,0.115933,0.023757,0.031031,1648.681,65.987,27.556,0.006947,8.332,,4240,4,network_degradation,SEV-1
dependency_failure-00041,0.123094,0.012016,0.308468,3839.047,24.709,28.188,0.480869,0.522,,6924,1,dependency_failure,SEV-2
network_degradation-00091,0.154596,0.03723,0.139175,2168.479,63.118,52.059,0.041907,10.382,,5993,2,network_degradation,SEV-2
dependency_failure-00078,0.067054,0.022,0.320791,1480.567,39.997,47.575,0.375839,1.44,,3278,3,dependency_failure,SEV-2
authentication_failure-00001,0.394954,0.068504,0.048504,946.421,65.506,65.188,0.053531,0.13,,344,1,authentication_failure,SEV-3
deployment_regression-00038,0.323633,0.128334,0.103239,3477.401,58.99,63.411,0.050556,0.863,23,2602,3,deployment_regression,SEV-2
infrastructure_saturation-00072,0.03049,0.027442,0.297916,6029.707,90.403,97.047,0.019668,0.137,,5928,4,infrastructure_saturation,SEV-1
deployment_regression-00090,0.427104,0.023114,0.425497,901.552,53.714,75.756,0.061266,1.467,21,7137,3,deployment_regression,SEV-2
unknown-00014,0.054681,0.011702,0.015758,1001.752,45.431,38.771,0.039865,0.955,,136,1,unknown,SEV-3
dependency_failure-00026,0.077548,0.006157,0.24236,1447.697,49.271,43.054,0.370342,0.967,,7287,2,dependency_failure,SEV-2
network_degradation-00081,0.038513,0.027424,0.232141,4579.2,23.786,45.045,0.007933,3.199,,8363,4,network_degradation,SEV-1
deployment_regression-00023,0.261949,0.11532,0.372973,3666.806,56.085,77.92,0.052147,0.482,16,8464,2,deployment_regression,SEV-2
network_degradation-00088,0.137128,0.017864,0.180842,1970.771,31.795,46.23,0.020306,9.607,,952,2,network_degradation,SEV-2
deployment_regression-00015,0.205497,0.050134,0.130777,1617.662,49.031,35.41,0.059761,0.264,13,8975,2,deployment_regression,SEV-2
network_degradation-00078,0.091858,0.019153,0.068462,1967.478,65.835,26.19,0.002589,9.882,,8499,1,network_degradation,SEV-2
dependency_failure-00028,0.113288,0.012947,0.219254,5325.075,55.921,74.052,0.163379,0.797,,4414,3,dependency_failure,SEV-2
network_degradation-00095,0.128013,0.038642,0.149529,5619.803,61.661,75.946,0.027531,8.529,,548,4,network_degradation,SEV-1
infrastructure_saturation-00028,0.023773,0.003944,0.1166,6354.545,95.58,94.378,0.013262,0.561,,11233,2,infrastructure_saturation,SEV-1
network_degradation-00026,0.096969,0.024708,0.085023,5708.56,47.376,57.277,0.046678,12.978,,5964,4,network_degradation,SEV-1
authentication_failure-00054,0.367593,0.368729,0.062543,2382.941,35.908,60.789,0.049834,0.364,,2570,3,authentication_failure,SEV-2
network_degradation-00068,0.038669,0.012529,0.200702,5273.195,55.246,39.664,0.021569,11.155,,7963,4,network_degradation,SEV-1
dependency_failure-00081,0.161912,0.035521,0.180222,5845.028,36.828,26.777,0.591482,0.94,,9454,4,dependency_failure,SEV-1
authentication_failure-00080,0.448035,0.188251,0.140599,2239.203,78.943,42.418,0.022978,1.284,,2706,3,authentication_failure,SEV-2
infrastructure_saturation-00076,0.025929,0.037691,0.065191,7506.856,94.332,95.04,0.029768,0.574,,5899,2,infrastructure_saturation,SEV-2
network_degradation-00069,0.085711,0.030991,0.132003,1652.996,55.505,29.345,0.016837,12.917,,3318,3,network_degradation,SEV-2
dependency_failure-00013,0.015429,0.026542,0.352525,2558.527,48.569,80.574,0.361104,0.409,,11529,2,dependency_failure,SEV-1
infrastructure_saturation-00060,0.101195,0.006553,0.335905,4899.535,97.83,94.974,0.010018,0.19,,4503,1,infrastructure_saturation,SEV-2
unknown-00100,0.037585,0.016868,0.009379,194.753,33.437,58.418,0.01889,1.691,,73,1,unknown,SEV-4
network_degradation-00053,0.016908,0.011164,0.080775,1965.573,66.531,25.299,0.02798,14.25,720,9879,1,network_degradation,SEV-2
infrastructure_saturation-00059,0.017528,0.003449,0.180345,4446.917,96.088,87.567,0.044502,1.111,,11698,2,infrastructure_saturation,SEV-1
authentication_failure-00006,0.210088,0.150772,0.141132,1796.071,58.502,38.899,0.043748,0.245,,7680,3,authentication_failure,SEV-2
authentication_failure-00036,0.307649,0.39464,0.02619,2299.009,35.454,32.308,0.026163,0.78,,5726,3,authentication_failure,SEV-2
infrastructure_saturation-00091,0.054435,0.035517,0.098271,1987.516,99.418,99.605,0.020277,1.478,,11642,1,infrastructure_saturation,SEV-1
authentication_failure-00084,0.135437,0.083263,0.098363,2341.858,79.858,68.832,0.026038,0.148,,7248,1,authentication_failure,SEV-2
deployment_regression-00078,0.364569,0.064577,0.185604,989.32,74.586,69.572,0.018578,1.108,28,861,2,deployment_regression,SEV-2
authentication_failure-00098,0.134068,0.18598,0.072074,2401.11,72.05,35.166,0.041141,0.817,,3038,1,authentication_failure,SEV-2
deployment_regression-00030,0.331675,0.176515,0.308672,2711.189,38.947,44.585,0.055428,0.937,29,2962,4,deployment_regression,SEV-1
infrastructure_saturation-00100,0.077559,0.036686,0.053709,6052.679,95.876,96.07,0.006751,0.224,,9646,1,infrastructure_saturation,SEV-2
infrastructure_saturation-00053,0.086645,0.015361,0.338975,3544.274,91.398,86.985,0.005055,0.83,,10054,3,infrastructure_saturation,SEV-1
unknown-00005,0.029486,0.017408,0.057704,236.107,66.113,54.217,0.042968,1.876,,133,1,unknown,SEV-3
dependency_failure-00024,0.194922,0.009439,0.207615,976.845,67.663,58.328,0.28582,0.365,,9620,4,dependency_failure,SEV-1
dependency_failure-00089,0.015509,0.036132,0.077155,2856.358,25.167,47.339,0.446432,1.337,,11407,4,dependency_failure,SEV-1
dependency_failure-00037,0.166969,0.012938,0.141846,3682.694,42.504,56.364,0.467181,0.54,,6605,1,dependency_failure,SEV-2
authentication_failure-00008,0.255311,0.282849,0.065388,2329.095,50.237,43.774,0.014798,0.842,,4888,2,authentication_failure,SEV-2
infrastructure_saturation-00024,0.098623,0.022004,0.335901,4500.544,97.084,89.892,0.01748,1.039,,13136,4,infrastructure_saturation,SEV-1
deployment_regression-00084,0.342469,0.021804,0.123743,1781.78,53.514,61.634,0.071609,1.055,10,11559,1,deployment_regression,SEV-1
dependency_failure-00040,0.058686,0.012012,0.253966,3802.231,33.046,29.4,0.24884,0.724,,11398,1,dependency_failure,SEV-1
deployment_regression-00051,0.398489,0.095888,0.412511,2224.356,35.092,71.142,0.067642,0.479,12,11875,1,deployment_regression,SEV-1
infrastructure_saturation-00029,0.054846,0.000983,0.081365,4203.84,99.617,84.089,0.056441,0.213,,7560,2,infrastructure_saturation,SEV-2
deployment_regression-00066,0.230619,0.19749,0.286398,1969.94,38.368,66.931,0.032111,0.06,2,2495,3,deployment_regression,SEV-2
unknown-00072,0.060489,0.002653,0.024568,1654.498,44.016,56.128,0.035512,1.888,440,214,1,unknown,SEV-3
deployment_regression-00026,0.123069,0.027956,0.331,1709.27,71.977,69.798,0.072507,1.31,11,1585,2,deployment_regression,SEV-2
unknown-00097,0.039375,0.013981,0.017614,946.428,50.336,55.258,0.040474,1.351,124,111,1,unknown,SEV-3
authentication_failure-00060,0.312715,0.065863,0.051193,1308.802,38.382,64.526,0.022141,0.83,,6210,3,authentication_failure,SEV-2
network_degradation-00028,0.035355,0.003603,0.137692,5341.382,25.571,38.562,0.01387,14.864,,7706,1,network_degradation,SEV-2
authentication_failure-00020,0.310546,0.352859,0.087046,601.177,79.961,73.473,0.05814,1.39,,1462,2,authentication_failure,SEV-2
unknown-00095,0.040913,0.004421,0.027278,307.723,49.254,35.003,0.04712,0.074,,213,1,unknown,SEV-3
unknown-00052,0.055844,0.018375,0.034514,452.149,62.927,60.33,0.016785,2.331,,233,1,unknown,SEV-3
unknown-00050,0.012944,0.013778,0.034223,1092.222,83.349,50.144,0.006931,1.758,,224,1,unknown,SEV-3
deployment_regression-00046,0.214772,0.066172,0.244989,3096.521,39.665,58.527,0.03577,1.09,30,6026,4,deployment_regression,SEV-1
deployment_regression-00075,0.201658,0.06465,0.344232,1908.363,55.658,48.592,0.038326,0.303,18,4692,3,deployment_regression,SEV-2
authentication_failure-00026,0.151502,0.132472,0.047128,2366.519,73.448,75.722,0.022172,0.237,,5863,2,authentication_failure,SEV-2
authentication_failure-00014,0.156831,0.225237,0.01969,2021.204,67.121,36.676,0.028517,0.825,,7246,3,authentication_failure,SEV-2
authentication_failure-00088,0.416835,0.215324,0.052297,2498.747,71.933,35.546,0.022882,0.538,,5828,2,authentication_failure,SEV-2
deployment_regression-00044,0.195626,0.161875,0.241672,2080.07,55.505,85.693,0.027123,0.28,23,8401,3,deployment_regression,SEV-2
infrastructure_saturation-00023,0.105534,0.025316,0.340329,6582.833,93.259,87.045,0.047152,0.548,,3373,2,infrastructure_saturation,SEV-2
authentication_failure-00079,0.234884,0.060872,0.111647,2174.952,56.896,64.317,0.051916,0.67,,2823,3,authentication_failure,SEV-2
unknown-00033,0.005049,0.006079,0.020241,1521.023,66.655,46.131,0.00604,1.71,,83,1,unknown,SEV-4
authentication_failure-00083,0.388002,0.195144,0.021244,1157.131,62.09,57.748,0.057248,0.94,,4097,3,authentication_failure,SEV-2
network_degradation-00047,0.105588,0.023312,0.236815,5260.742,57.083,72.375,0.032034,13.53,,309,5,network_degradation,SEV-1
unknown-00082,0.055284,0.00417,0.026516,1778.889,51.618,83.057,0.00861,0.762,,31,1,unknown,SEV-4
deployment_regression-00019,0.278669,0.031665,0.268682,3698.953,50.264,73.551,0.065516,1.223,8,1934,2,deployment_regression,SEV-2
unknown-00002,0.001257,0.02164,0.029202,842.45,84.315,25.503,0.032112,1.04,,202,1,unknown,SEV-3
infrastructure_saturation-00045,0.085654,0.034756,0.30415,2105.421,99.722,93.427,0.041837,1.275,,6616,2,infrastructure_saturation,SEV-2
dependency_failure-00006,0.085696,0.027622,0.080412,5050.472,48.592,60.902,0.313925,0.502,,9280,3,dependency_failure,SEV-2
unknown-00054,0.0785,0.007159,0.006813,913.439,80.74,57.708,0.047955,0.524,,58,1,unknown,SEV-4
dependency_failure-00011,0.188683,0.028028,0.087222,1751.243,26.181,28.636,0.536919,0.823,873,8684,1,dependency_failure,SEV-2
network_degradation-00097,0.052204,0.00372,0.174951,5926.448,24.182,74.364,0.028593,7.242,,4508,2,network_degradation,SEV-2
deployment_regression-00018,0.130845,0.170452,0.170027,2684.388,60.39,55.976,0.024822,0.509,11,3004,1,deployment_regression,SEV-2
infrastructure_saturation-00027,0.109964,0.026304,0.156503,5705.499,90.443,99.705,0.040648,0.599,,13145,4,infrastructure_saturation,SEV-1
unknown-00007,0.049043,0.027108,0.032102,118.332,46.782,78.894,0.028698,0.829,,205,1,unknown,SEV-3
deployment_regression-00009,0.302271,0.05042,0.322992,1517.584,36.277,79.805,0.029405,1.144,19,3955,4,deployment_regression,SEV-1
authentication_failure-00044,0.256438,0.316785,0.07196,2130.013,74.061,52.191,0.054411,0.669,,7157,2,authentication_failure,SEV-2
deployment_regression-00068,0.27756,0.106846,0.261243,2601.358,57.544,35.882,0.026499,0.164,14,9813,3,deployment_regression,SEV-2
network_degradation-00062,0.070809,0.020113,0.086662,5115.272,53.361,39.92,0.055601,7.577,,604,4,network_degradation,SEV-1
authentication_failure-00045,0.31353,0.315604,0.127581,1054.623,67.772,55.199,0.014355,0.66,,2020,2,authentication_failure,SEV-2
network_degradation-00074,0.020686,0.014777,0.029846,2240.644,69.925,44.146,0.02818,8.456,1388,5409,1,network_degradation,SEV-2
dependency_failure-00093,0.097636,0.006832,0.3211,3982.645,27.644,30.867,0.505128,1.195,,10740,1,dependency_failure,SEV-1
authentication_failure-00038,0.406764,0.170902,0.107609,1608.825,35.551,64.576,0.022749,1.122,,4762,2,authentication_failure,SEV-2
unknown-00079,0.021717,0.020939,0.021751,1008.515,39.614,29.342,0.006847,0.704,,106,1,unknown,SEV-3
dependency_failure-00012,0.029746,0.024724,0.088666,5651.107,43.391,38.073,0.463548,0.665,,8730,2,dependency_failure,SEV-2
dependency_failure-00027,0.014057,0.015111,0.306296,2178.551,22.369,65.278,0.370693,0.814,,9384,2,dependency_failure,SEV-2
dependency_failure-00086,0.178945,0.004124,0.320501,4702.329,21.349,68.234,0.412202,0.315,,4795,3,dependency_failure,SEV-2
infrastructure_saturation-00082,0.101449,0.014067,0.220295,2423.665,99.484,97.061,0.048624,1.456,,2976,4,infrastructure_saturation,SEV-1
authentication_failure-00034,0.215857,0.284411,0.065785,1057.206,28.818,70.213,0.021069,0.764,,7011,3,authentication_failure,SEV-2
network_degradation-00082,0.150507,0.02422,0.060807,6409.649,52.99,71.521,0.031886,12.029,1410,2235,5,network_degradation,SEV-1
dependency_failure-00035,0.151761,0.030651,0.256032,4339.912,62.153,49.343,0.134133,1.189,,8368,3,dependency_failure,SEV-2
authentication_failure-00085,0.310782,0.29596,0.136479,591.982,68.788,45.255,0.02249,0.218,,4736,3,authentication_failure,SEV-2
network_degradation-00051,0.012204,0.010054,0.162729,5685.549,67.856,68.989,0.054689,11.456,,9740,5,network_degradation,SEV-1
deployment_regression-00017,0.30069,0.144805,0.234547,1168.555,31.21,52.213,0.064106,0.927,27,11548,3,deployment_regression,SEV-1
infrastructure_saturation-00009,0.023912,0.003853,0.094669,2747.558,95.265,96.674,0.016039,0.595,,6752,4,infrastructure_saturation,SEV-1
dependency_failure-00046,0.031381,0.016543,0.184191,1871.498,40.671,62.358,0.480234,0.254,,7345,2,dependency_failure,SEV-2
dependency_failure-00062,0.125507,0.032973,0.304868,2910.169,76.348,57.6,0.358803,0.962,,730,1,dependency_failure,SEV-2
infrastructure_saturation-00021,0.087195,0.007822,0.082092,3480.277,99.488,87.98,0.037212,1.206,,5584,4,infrastructure_saturation,SEV-1
unknown-00076,0.038083,0.020827,0.007175,971.294,55.268,74.943,0.008142,0.146,,225,1,unknown,SEV-3
authentication_failure-00082,0.495902,0.209704,0.083633,1413.856,64.734,51.319,0.039287,0.232,,2271,2,authentication_failure,SEV-2
unknown-00083,0.017789,0.025704,0.008542,485.177,23.774,28.464,0.00393,1.727,,20,1,unknown,SEV-4
network_degradation-00046,0.131445,0.027464,0.231874,1796.03,59.072,76.685,0.010669,9.51,,1990,3,network_degradation,SEV-2
unknown-00073,0.030542,0.016616,0.002534,1504.622,73.421,39.754,0.027964,1.159,65,40,1,unknown,SEV-4
unknown-00065,0.078048,0.009938,0.042327,905.648,35.288,81.361,0.049034,1.434,1217,187,1,unknown,SEV-3
network_degradation-00048,0.0281,0.015235,0.032205,1339.629,34.684,66.633,0.059012,11.201,,1116,3,network_degradation,SEV-2
deployment_regression-00062,0.186895,0.174408,0.139089,1847.795,63.506,51.574,0.06105,0.747,17,7898,4,deployment_regression,SEV-1
dependency_failure-00059,0.125065,0.024494,0.262763,2077.653,21.565,29.53,0.48551,0.201,,7780,3,dependency_failure,SEV-2
network_degradation-00098,0.17101,0.027324,0.229283,3993.996,30.982,63.978,0.052365,5.481,,4191,5,network_degradation,SEV-1
network_degradation-00063,0.036575,0.008795,0.191753,5780.623,66.721,40.634,0.038043,6.577,,6213,1,network_degradation,SEV-2
network_degradation-00072,0.088999,0.020416,0.111261,4013.004,56.447,69.943,0.048392,10.368,,8523,2,network_degradation,SEV-2
unknown-00096,0.005458,0.020343,0.058324,750.476,62.544,29.928,0.031098,0.241,1124,197,1,unknown,SEV-3
infrastructure_saturation-00085,0.086182,0.013462,0.146781,7843.094,97.324,89.864,0.038356,0.731,,11686,3,infrastructure_saturation,SEV-1
infrastructure_saturation-00058,0.07647,0.008128,0.292418,4986.536,93.907,93.417,0.050072,1.022,955,12059,2,infrastructure_saturation,SEV-1
authentication_failure-00071,0.379597,0.068794,0.042049,1848.597,72.328,60.53,0.001245,1.147,,4820,1,authentication_failure,SEV-2
network_degradation-00030,0.15484,0.026534,0.059218,3145.164,44.074,57.956,0.052709,4.115,,3096,1,network_degradation,SEV-2
infrastructure_saturation-00077,0.12808,0.010999,0.183803,2466.104,96.141,93.106,0.038837,0.748,,7948,1,infrastructure_saturation,SEV-2
dependency_failure-00043,0.072098,0.027911,0.112087,4335.54,79.842,80.349,0.471477,0.863,944,4847,4,dependency_failure,SEV-1
authentication_failure-00019,0.293127,0.175363,0.130634,997.313,35.461,53.328,0.025313,0.418,,7663,1,authentication_failure,SEV-2
unknown-00058,0.01204,0.006128,0.057126,138.573,44.158,64.356,0.046586,1.185,,189,1,unknown,SEV-3
dependency_failure-00049,0.114272,0.024922,0.397383,4444.863,60.096,46.467,0.551141,0.79,,1084,3,dependency_failure,SEV-2
infrastructure_saturation-00052,0.067213,0.028897,0.238424,2483.932,94.117,94.358,0.051598,0.13,,12428,1,infrastructure_saturation,SEV-1
network_degradation-00016,0.054295,0.011762,0.215779,3823.219,67.652,55.929,0.056658,3.855,,8299,1,network_degradation,SEV-2
deployment_regression-00096,0.302116,0.156782,0.382802,1558.093,80.823,87.242,0.0417,0.62,9,1248,2,deployment_regression,SEV-2
authentication_failure-00012,0.338303,0.09618,0.097542,2183.339,52.921,40.343,0.022435,0.242,,7656,3,authentication_failure,SEV-2
unknown-00020,0.014741,0.008837,0.039629,228.714,46.741,84.691,0.038468,1.731,,198,1,unknown,SEV-3
network_degradation-00060,0.136971,0.00615,0.125622,2990.292,24.814,27.876,0.047653,9.697,,3829,3,network_degradation,SEV-2
network_degradation-00045,0.112429,0.035457,0.137828,6058.447,50.129,41.637,0.044209,9.643,,3535,5,network_degradation,SEV-1
infrastructure_saturation-00064,0.051834,0.01665,0.266086,3263.177,90.779,88.711,0.030122,1.353,,13278,1,infrastructure_saturation,SEV-1
infrastructure_saturation-00011,0.017295,0.000378,0.101415,4749.08,94.339,96.119,0.033951,1.287,1141,797,2,infrastructure_saturation,SEV-2
network_degradation-00043,0.167143,0.031243,0.229342,5150.906,29.551,68.208,0.006213,10.89,,5373,5,network_degradation,SEV-1
authentication_failure-00005,0.139704,0.137485,0.050514,659.584,37.803,35.252,0.016678,0.954,,3132,2,authentication_failure,SEV-2
deployment_regression-00092,0.162466,0.112079,0.275672,3129.146,42.916,35.184,0.001819,0.448,22,9170,4,deployment_regression,SEV-1
unknown-00067,0.017629,0.010722,0.019582,1133.857,28.66,54.218,0.039064,1.918,,22,1,unknown,SEV-4
deployment_regression-00013,0.154453,0.153343,0.098412,1061.061,55.701,57.473,0.048566,0.621,7,8644,1,deployment_regression,SEV-2
unknown-00011,0.0209,0.021023,0.029095,1458.932,75.341,42.285,0.00422,0.363,,40,1,unknown,SEV-4
infrastructure_saturation-00042,0.047613,0.010694,0.307405,7905.674,96.793,83.714,0.057766,1.179,,4643,2,infrastructure_saturation,SEV-2
deployment_regression-00008,0.334505,0.088054,0.403235,3811.616,54.53,83.54,0.004116,0.431,10,6011,1,deployment_regression,SEV-2
deployment_regression-00016,0.275092,0.168337,0.378294,1030.642,79.982,37.242,0.001499,1.382,28,5379,4,deployment_regression,SEV-1
deployment_regression-00055,0.263042,0.108298,0.127484,3452.972,61.976,66.153,0.061423,0.194,17,1157,1,deployment_regression,SEV-2
authentication_failure-00024,0.293623,0.380143,0.089755,1657.838,27.186,34.263,0.039442,0.848,,2236,1,authentication_failure,SEV-2
network_degradation-00094,0.054388,0.016285,0.044487,1434.316,36.184,75.192,0.048177,14.481,,9519,3,network_degradation,SEV-2
infrastructure_saturation-00090,0.117745,0.031549,0.223417,6428.583,92.256,90.123,0.047952,0.05,594,1815,1,infrastructure_saturation,SEV-2
infrastructure_saturation-00079,0.072359,0.031257,0.15321,5176.732,93.216,86.868,0.001564,0.896,635,1059,4,infrastructure_saturation,SEV-1
deployment_regression-00042,0.321108,0.164185,0.103347,3283.809,56.545,50.552,0.003505,0.299,2,5420,3,deployment_regression,SEV-2
deployment_regression-00073,0.313527,0.04653,0.171212,2585.877,43.042,86.564,0.023809,0.434,7,11558,4,deployment_regression,SEV-1
infrastructure_saturation-00080,0.078826,0.030674,0.349882,7830.869,91.001,93.824,0.015992,1.224,,1016,2,infrastructure_saturation,SEV-2
unknown-00092,0.053768,0.011891,0.03136,1250.082,23.345,45.663,0.034752,2.444,,229,1,unknown,SEV-3
authentication_failure-00097,0.528234,0.296805,0.085627,1674.681,64.963,76.042,0.039295,1.251,,7792,2,authentication_failure,SEV-2
network_degradation-00064,0.104099,0.022203,0.048344,1030.179,52.816,53.469,0.056819,6.656,,5733,2,network_degradation,SEV-2
infrastructure_saturation-00006,0.129197,0.021685,0.242543,1881.758,90.338,97.241,0.056711,1.002,,6856,2,infrastructure_saturation,SEV-2
deployment_regression-00033,0.380441,0.036296,0.172501,2851.773,80.699,64.391,0.008207,1.269,28,2292,3,deployment_regression,SEV-2
dependency_failure-00023,0.187881,0.006344,0.307601,4698.095,52.975,31.962,0.330239,0.448,,953,2,dependency_failure,SEV-2
network_degradation-00035,0.152636,0.022334,0.247192,1327.397,55.387,33.317,0.050931,13.222,,1326,4,network_degradation,SEV-1
network_degradation-00070,0.134703,0.025065,0.187308,6352.631,66.727,58.476,0.048759,9.947,,3585,1,network_degradation,SEV-2
unknown-00080,0.027225,0.027324,0.006145,362.743,30.478,32.247,0.044853,1.534,,135,1,unknown,SEV-3
unknown-00081,0.067686,0.021376,0.042136,1464.386,44.214,79.542,0.005828,0.328,773,80,1,unknown,SEV-4
infrastructure_saturation-00038,0.045731,0.021504,0.100463,4472.589,97.425,95.787,0.032984,0.17,,12799,3,infrastructure_saturation,SEV-1
dependency_failure-00029,0.096275,0.031037,0.232026,4641.654,72.976,60.325,0.269319,0.93,,1137,4,dependency_failure,SEV-1
